#
#  pflu216595cyc 22.5 Reactions link table generated on Mon Sep 10, 2018
#
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN-7593	
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
7KAPSYN-RXN	EC-2.3.1.47
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN	EC-2.7.1.92
RXN-12539	
RXN-13519	
RXN-15092	EC-2.7.1.208
RXN-16165	EC-6.1.1.10
RXN-11246	EC-2.3.1.16
RXN6666-5	EC-1.2.1.3
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
RXN-10779	
RXN-15096	EC-2.7.1.196
PHOSPHASERSYN-RXN	EC-2.7.8.8
DUDPKIN-RXN	EC-2.7.4.6
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
RXN0-1461	EC-1.3.3.3
RXN-18032	
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
ACYLCOADEHYDROG-RXN	EC-1.3.8
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
RXN0-5265	
RXN-8315	
RXN-10016	
RXN-16660	
RXN-16067	EC-2.3.1.51
RXN-15815	
4.1.1.81-RXN	EC-4.1.1.81
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	EC-4.1.3.4
RXN-14811	
TRANS-RXN1G1K-23	
RXN-982	EC-1.20.4.1
RXN-14064	EC-3.1.4.16
RXN-8173	
RXN-11484	EC-2.3.1.47
RXN0-742	EC-6.3.4.18
SUPEROX-DISMUT-RXN	EC-1.15.1.1
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
RXN0-6710	EC-3.1.4.55
RXN-15348	EC-1.8.4
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
3.6.3.21-RXN	EC-3.6.3.21
RXN-10658	EC-2.3.1.179	EC-2.3.1.41
RXN0-1001	EC-3.1.3.8
TRANS-RXN1G1K-48	
RXN-14056	
RXN-15167	EC-2.7.1.208
RXN-3443	EC-1.2.1.3
RXN-17116	EC-2.3.1.16
RXN-16393	EC-6.2.1.3
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
RXN-11811	
RXN-14026	EC-3.1.3.91	EC-3.1.3.5
TRANS-RXN1G1K-8	
RXN-14992	EC-2.1.1.297
RXN-9661	EC-1.3.1.9
ARGININE-DEIMINASE-RXN	EC-3.5.3.6
RXN-15139	
RXN-14270	EC-2.4.2.7
TRANS-RXN-155B	EC-2.7.1.196
RXN-14197	EC-3.5.4.1
METHYLCROTONYL-COA-CARBOXYLASE-RXN	EC-6.4.1.4
TRANS-RXN0-265	
RXN-11410	
RXN-15829	EC-1.10.2.2
R147-RXN	EC-1.13.11.54
RXN-9651	EC-2.3.1.86
1.8.4.12-RXN	EC-1.8.4.12
1.4.3.19-RXN	EC-1.4.3.19
R501-RXN	EC-1.14.13
1.3.1.2-RXN	EC-1.3.1.2
RXN0-5305	
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
DIACYLGLYKIN-RXN	EC-2.7.1.107
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXN-4821	EC-3.5.99
RXN-15733	EC-2.7.6.3
TRANS-RXN0-460	
TRANS-RXN1G1K-22	
2.8.1.6-RXN	EC-2.8.1.6
RXN-14727	EC-3.5.1.4
RXN0-5375	EC-1.7.1
RXN-18031	
RXN-17779	EC-1.3.8
RXN-6201	EC-4.1.1.97
RXN-8767	EC-2.1.1.289
RXN-16765	
RXN-16137	EC-2.3.1.16
RXN-17472	
RXN66-476	EC-1.2.1.3
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EC-5.4.99.12
RXN-10015	
DARAB5PISOM-RXN	EC-5.3.1.13
CYTDEAM-RXN	EC-3.5.4.1
RXN-14409	
RXN-17093	
RXN-15831	
RXN-17473	
RXN-2043	EC-3.2.1.4
RXN-17881	
GLYOXI-RXN	EC-4.4.1.5
RXN-14898	
RXN1G1K-35	
RXN-14503	
RXN-16621	EC-2.3.1.179
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-17012	EC-2.3.1.51
RXN-15181	EC-2.7.1.196
RXN-10917	EC-1.2.1.3
RXN66-480	EC-6.2.1.3
RXN-16691	
RXN-7587	
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
RXN0-4022	EC-1.7.1.13
TRANS-RXN-118	
RXN-14396	
DNA-LIGASE-NAD+-RXN	EC-6.5.1.6
RXN-16665	
DIMETHYLGLYCINE-DEHYDROGENASE-RXN	EC-1.5.8.4
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13
RXN-14790	EC-1.3.1.34
CYSTEINE-DIOXYGENASE-RXN	EC-1.13.11.20
5.3.1.23-RXN	EC-5.3.1.23
RXN-11409	
RXN-17920	
3.1.26.12-RXN	EC-3.1.26.12
RXN-14129	EC-3.5.4.1
RXN-646	EC-3.5.1.107
RXN-745	
RXN-17918	
MALTODEG-RXN	
1.14.11.1-RXN	EC-1.14.11.1
RXN-13482	EC-2.1.3.3
RXN-14793	EC-2.3.1.16
RXN-16462	
PEPCARBOX-RXN	EC-4.1.1.31
RXN-18356	
RXN-17919	
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
RXN-18392	
SUCCORNTRANSAM-RXN	EC-2.6.1.81
RXN0-5224	EC-4.2.1.1
RXN-12196	EC-3.6.1.15
RXN-12104	EC-1.17.99.6
2.5.1.64-RXN	EC-2.2.1.9
RXN-12521	EC-1.3.1.34
RXN-12754	
SUCROSEPHOSPHO-RXN	EC-2.7.1.211
RXN-9788	EC-2.8.1
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
RXN0-300	EC-1.1.1
RXN-8037	
RXN0-901	EC-1.17.1.4
RXN-14228	EC-2.7.4.6
2.3.1.41-RXN	EC-2.3.1.179
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
RXN-10715	EC-1.2.1.3
4.2.2.2-RXN	EC-4.2.2.2
RXN-13870	EC-2.3.1.5
RXN-14290	
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	EC-4.2.1.80
PGLUCISOM-RXN	EC-5.3.1.9
GLY3KIN-RXN	EC-2.7.1.31
RXN-8992	EC-2.5.1.90
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
ADENYL-KIN-RXN	EC-2.7.4.3
RXN-12626	EC-3.2.1.52
RXN-14997	
RXN-17788	EC-1.3.8
MMUM-RXN	EC-2.1.1.10
RXN-9922	
RXN-14776	EC-1.3.1.34
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
ABC-4-RXN	EC-3.6.3.21
GALACTONDEHYDRAT-RXN	EC-4.2.1.140	EC-4.2.1.6
RXN-8899	
RXN-7682	EC-1.17.1.4
1.10.2.2-RXN	EC-1.10.2.2
RXN-14113	EC-3.1.4.16
RXN-161	EC-1.1.1
RXN-17787	EC-2.3.1.16
RXN0-5063	EC-2.8.4.3
RXN-7904	EC-6.2.1.3
MYO-INOSOSE-2-DEHYDRATASE-RXN	EC-4.2.1.44
RXN-18232	
TRANS-RXN-156	EC-2.7.1.197
RXN-15941	EC-5.1.1.22
DTDPDEHYRHAMREDUCT-RXN	EC-1.1.1.133
RXNI-2	EC-2.8.3.5
RXN-15345	
RXN-14569	EC-2.7.7.87
RXN-17884	EC-1.1.1.284
RXN-11599	EC-2.1.1.188
RXN-6081	
GLUCURONOLACTONE-REDUCTASE-RXN	EC-1.1.1.20
BUTYRYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.1
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
ACETOACETATE-DECARBOXYLASE-RXN	EC-4.1.1.4
3.2.1.52-RXN	EC-3.2.1.52
5.4.2.10-RXN	EC-5.4.2.10
DEHYDDEOXPHOSGALACT-ALDOL-RXN	EC-4.1.2.55	EC-4.1.2.21
RXN-9654	EC-2.3.1.86
ARGINASE-RXN	EC-3.5.3.1
3.4.21.102-RXN	EC-3.4.21.102
RXN-6268	
RXN-9662	EC-1.3.1.9
2KETO-3METHYLVALERATE-RXN	EC-1.2.1
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EC-4.1.1.98
RXN-18448	EC-6.2.1.1
3-OXOACID-COA-TRANSFERASE-RXN	EC-2.8.3.5
RXN0-7080	
RXN1G1K-14	
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
RXN-13617	EC-2.3.1.16
RXN66-479	EC-1.2.1.3
R321-RXN	EC-1.14.13.83
TRANS-RXN1G1K-47	
RXN-14812	
MALSYN-RXN	EC-2.3.3.9
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
CARBODEHYDRAT-RXN	EC-4.2.1.1
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
RXN0-5222	
RXN-12625	EC-3.2.1.52
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
DIHYDROOROTATE-DEHYDROGENASE-RXN	EC-1.3.5.2
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
LINOLENOYL-RXN	EC-6.2.1.3
RXN-15999	
RXN-13449	EC-1.3.8.1
RXN490-3616	EC-6.1.1
DGTPTRIPHYDRO-RXN	EC-3.1.5.1
RXN-11474	EC-2.3.1.179
RXN-11573	EC-2.1.1.187
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN-17753	
RXN-17775	EC-1.3.8
RXN-34	EC-3.5.3.1
RXN-7835	EC-1.3.1.34
5.99.1.2-RXN	EC-5.99.1.2
RXN-13460	
RXN0-5226	EC-3.2.1.52
RXN-17846	EC-2.3.2.6
RXN-18580	EC-1.10.2.2
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
RXN-17131	EC-3.9.1.3
RXN-14882	
RXN1G1K-34	
RXN-15261	EC-3.5.4.3
RXN1G-368	EC-2.3.1.41
RXN-11791	EC-2.7.8.31
RXN-8001	EC-1.1.1.23
RXN-14715	EC-1.3.1.34
RXN-16655	EC-1.2.1.3
RXN66-546	EC-1.5.1.2
NAD-KIN-RXN	EC-2.7.1.23
OHMETPYRKIN-RXN	EC-2.7.1.49
RXN-18363	
FORMALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.46
RXN0-6998	EC-2.1.1.266
3.6.3.2-RXN	EC-3.6.3.2
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
RXN-14799	EC-2.3.1.16
HISTOLDEHYD-RXN	
1.13.11.9-RXN	EC-1.13.11.9
RXN-16424	
MALIC-NADP-RXN	EC-1.1.1.40
TRANS-RXN-169	EC-2.7.1.198
RXN-18447	EC-6.2.1.1
3.4.24.70-RXN	EC-3.4.24.70
GMP-SYN-GLUT-RXN	EC-6.3.5.2
RXN1G1K-13	
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
TRANS-RXN-250	EC-3.6.3.2
RXN-7911	EC-1.3.1.34
HISTALDEHYD-RXN	
RXN-18082	EC-3.2.1.52
1.11.1.12-RXN	EC-1.11.1.12
TRANS-RXN-218	
RXN-9539	EC-2.3.1.179	EC-2.3.1.41
RXN0-4261	
RXN-14480	
TRANS-RXN0-561	
RXN-9929	EC-1.3.98.1
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
RXN-9758	EC-1.2.1.3
ALKAPHOSPHA-RXN	EC-3.1.3.1
GMP-SYN-NH3-RXN	
RXN-14354	EC-2.4.1.25
GLYOXIII-RXN	EC-4.2.1.130
RXN-10654	EC-2.3.1.179	EC-2.3.1.41
RXN0-7115	
CARBAMATE-KINASE-RXN	EC-2.7.2.2
RXN-14274	EC-2.3.1.16
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
RXN0-7239	EC-6.2.1.3
RXN0-1133	EC-2.3.1.12
1.5.1.9-RXN	EC-1.5.1.9
GARTRANSFORMYL2-RXN	EC-2.1.2
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
1.1.1.274-RXN	EC-1.1.1.274
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.2	EC-1.6.1.3
RXNN-404	EC-3.5.1.4
RXN-11667	EC-4.2.1.150
URITRANS-RXN	EC-2.7.7.59
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
RXN-17784	EC-1.3.8
NQOR-RXN	EC-1.6.5.2
RXN0-7139	
SARCOX-RXN	EC-1.5.3.1
RXN0-1134	EC-1.2.4.1
RXN-9024	EC-3.2.1.3
RXN-9386	EC-6.1.1.24
RXN0-743	EC-5.4.99.18
RXN-9663	EC-1.3.1.9
RXN-12583	
TRANSALDOL-RXN	EC-2.2.1.2
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.179
RXN-17799	EC-2.3.1.16
RXN-14225	EC-1.2.1.3
RXN66-484	EC-6.2.1.3
RXN-14150	EC-5.3.1.30
RXN-14481	
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
RXN-12508	
DLACTDEHYDROGFAD-RXN	EC-1.1.5.12
RXN1G1K-12	
RXN-15083	EC-2.7.1.199
TRANS-RXN1G1K-46	
RXN-15816	EC-1.10.2.2
AMINOACYLASE-RXN	EC-3.5.1.14
3-OXOADIPATE-ENOL-LACTONASE-RXN	EC-3.1.1.24
PPPGPPHYDRO-RXN	EC-3.6.1.40
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
PYRIMSYN3-RXN	EC-2.7.4.7
RXN0-2621	EC-3.1.25
DAHPSYN-RXN	EC-2.5.1.54
RXNI-3	EC-1.1.5.4
ISOVALERYLCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
IMP-DEHYDROG-RXN	EC-1.1.1.205
RXN-11837	EC-5.4.99.23
RXN-13403	EC-2.1.1.107
RXN-9650	EC-2.3.1.86
RXN0-1321	EC-2.4.2.29
FORMIMINOGLUTAMATE-DEIMINASE-RXN	EC-3.5.3.13
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
3-HYDROXY-KYNURENINASE-RXN	EC-3.7.1.3
TRANS-RXN1G1K-45	
RXN0-5223	EC-2.7.1
RXN-7101	
UROPORIIIMETHYLTRANSA-RXN	
GLYOHMETRANS-RXN	EC-2.1.2.1
RXN-17009	EC-2.3.1.51
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	EC-1.1.5.4
RXN-10699	EC-2.3.1.16
RXN-37	EC-1.2.1.3
3.4.21.53-RXN	EC-3.4.21.53
RXN-11319	EC-4.1.99.19
RXN-8675	
RXN-9653	EC-2.3.1.86
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
GCVP-RXN	EC-1.4.4.2
RXN-16637	EC-3.1.1.29
RXN-15143	EC-2.7.1.199
RXN-11217	EC-3.5.2.2
RXN-16329	
THREONINE-ALDOLASE-RXN	EC-4.1.2.48
RXN-13677	EC-3.4.11.2
RXN-18446	EC-6.2.1.1
CHMS-DEHYDROGENASE-RXN	EC-1.2.1.60
PRODISULFREDUCT-A-RXN	EC-1.8.4
PHOSPHOLIPASE-A2-RXN	EC-3.1.1.4
RXN-17608	EC-3.5.1.4
RXN-17796	EC-1.3.8
2.3.1.179-RXN	EC-2.3.1.179
3.2.1.82-RXN	EC-3.2.1.82
RXN-16401	EC-6.2.1.3
RXN-10757	EC-3.5.1.101
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
TRANS-RXN1G1K-7	
RXN-16032	EC-2.3.1.51
RXN0-1441	EC-3.6.1.53
1.1.1.8-RXN	EC-1.1.1.8
1.1.1.39-RXN	EC-1.1.1.38	EC-1.1.1.39
RXN-14277	EC-2.3.1.16
RXN-16654	EC-1.2.1.3
DCDPKIN-RXN	EC-2.7.4.6
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
RXN-18604	EC-1.10.2.2
RXN-14965	EC-3.1.3.21
RXN0-2141	EC-2.3.1.179
RXN-11211	EC-3.5.2.2
GLUTAMATESYN-RXN	EC-1.4.1.13
5.99.1.3-RXN	EC-5.99.1.3
PEPSYNTH-RXN	EC-2.7.9.2
RXN-10381	EC-4.2.1.80
4.3.1.17-RXN	EC-4.3.1.17
RXN-15513	EC-5.4.2.11
3.1.11.6-RXN	EC-3.1.11.6
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	EC-4.2.1.163
BETA-UREIDOPROPIONASE-RXN	EC-3.5.1.6
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RXN0-5261	
ARYLAMINE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.5
RXN-15125	
TRANS-RXN0-540	EC-2.7.1.199
RXN-14139	EC-3.6.1.9
PSERTRANSAM-RXN	EC-2.6.1.52
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
RXN-17363	EC-2.3.1
2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79
RXN-15124	
4.2.2.10-RXN	EC-4.2.2.10
3.4.13.21-RXN	EC-3.4.13.21
2.5.1.19-RXN	EC-2.5.1.19
RXN-9535	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
RXN-15509	
RXN-8999	EC-2.5.1.31
METHYLVALERATE-RXN	EC-1.2.4.4
RXN-15127	EC-3.5.99.10
RXN-10780	EC-1.2.1.3
3.2.1.3-RXN	EC-3.2.1.3
RXN-17023	EC-2.3.1.51
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
RXN-18603	
RXN66-474	EC-6.2.1
RXN1G1K-11	
RXN-8748	EC-3.1.3.1
RXN-17795	EC-2.3.1.16
AMINOBUTDEHYDROG-RXN	EC-1.2.1.19
RXN-10661	EC-1.3.1.9
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	EC-4.1.2.52
RXN-14897	EC-4.2.2.10
RXN-1381	EC-2.3.1.15
INOPHOSPHOR-RXN	EC-2.4.2.1
RXN-11475	EC-2.1.1.197
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
2.7.7.8-RXN	EC-2.7.7.8
RXN0-2584	EC-3.2.2.27
PSERTRANSAMPYR-RXN	EC-2.6.1.52
1.2.4.4-RXN	EC-1.2.4.4
RXN-16629	EC-2.3.1.179	EC-2.3.1.41
RXN-13614	EC-6.2.1.3
HISTPRATPHYD-RXN	EC-3.6.1.31
THI-P-SYN-RXN	EC-2.5.1.3
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
PHOSPHASERDECARB-RXN	EC-4.1.1.65
UROGENDECARBOX-RXN	EC-4.1.1.37
TRANS-RXN1G1K-44	
RXN-15510	
RXN-13684	EC-3.5.1.14	EC-3.5.1.114
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
TRYPSYN-RXN	EC-4.2.1.20
KETOISOCAPROATE-RXN	EC-1.2.4.4
RXN0-262	EC-2.7.7.77
PHENDEHYD-RXN	EC-1.2.1.39
3-OXOACYL-ACP-REDUCT-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
GCVMULTI-RXN	
THIAZOLSYN2-RXN	EC-2.8.1.10
RXN-14224	EC-1.2.1.3
LEVANSUCRASE-RXN	EC-2.4.1.10
TRANS-RXN-153A	EC-2.7.1.199
TETHYDPICSUCC-RXN	EC-2.3.1.117
RXN0-6491	EC-1.3.5.2
RXN0-5515	EC-2.7.7.41
RXN0-4621	EC-2.7.1.170
RXN0-1132	EC-1.8.1.4
HISTAMINOTRANS-RXN	EC-2.6.1.9
RXN-11845	EC-2.1.1.166
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13
BADH-RXN	EC-1.2.1.8
RXN0-5398	EC-4.2.1.70
RXN-5841	EC-3.1.3.5
RXN-14047	EC-4.2.1.3
RXN-12197	EC-3.6.1.6
RXN-14260	EC-2.4.1.25
RXN-14107	EC-1.10.2.2
RXN-14788	EC-2.3.1.16
TRANS-RXN1G1K-43	
1.8.1.4-RXN	EC-1.8.1.4
RXN-11601	EC-2.1.1.190
RXN-9068	EC-2.4.1.10
RXN0-6523	EC-3.1.26.12
RXN-15511	
RXN-8769	EC-6.3.5.11
RXN-17024	EC-2.3.1.51
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
RXN1G1K-10	
RXN0-2381	EC-4.1.2.8
R381-RXN	EC-5.1.3.8
RXN-9633	EC-2.3.1.86	EC-1.1.1.100
RXN-7719	EC-1.8.1.4
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
RXN-12460	EC-3.1.1.29
ACONITATEDEHYDR-RXN	
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1
D-XYLULOSE-REDUCTASE-RXN	EC-1.1.1.9
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN-14280	EC-1.2.1.3
CHD-RXN	EC-1.1.99.1
6.3.2.10-RXN	EC-6.3.2.10
RXN66-469	EC-6.2.1.3
RXN-10462	EC-2.3.1.15
TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3
RXN-14149	EC-3.7.1.22
KYNURENINASE-RXN	EC-3.7.1.3
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
ACONITATEHYDR-RXN	
TRANS-RXN0-234	
3.6.3.16-RXN	EC-3.6.3.16
RXN-7716	EC-1.8.1.4
RXN1G1K-21	
RXN-10659	EC-1.1.1.100
3.1.3.77-RXN	EC-3.1.3.77
RXN-8771	EC-1.13.11.79
ADENODEAMIN-RXN	EC-3.5.4.4
RXN-17782	EC-2.3.1.16
RXN0-7230	EC-1.1.99.1
RXN-10912	EC-1.2.1.3
RXN-12086	EC-3.1.1.3
CYSTATHIONINE-BETA-SYNTHASE-RXN	EC-4.2.1.22
RXN-15512	
1.5.5.1-RXN	EC-1.5.5.1
RXN0-1342	EC-2.4.99.17
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
DXPREDISOM-RXN	EC-1.1.1.267
ALLANTOICASE-RXN	EC-3.5.3.4
RXN0-5259	
RXN0-2382	EC-4.2.1.122
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
5-NUCLEOTID-RXN	EC-3.1.3.5
RXN-8629	EC-1.8.1.4
3.1.22.4-RXN	EC-3.1.22.4
RXN-1804	EC-2.4.1.10
RXN-17758	
RXN-12978	EC-6.2.1.3
2-NITROPROPANE-DIOXYGENASE-RXN	EC-1.13.12.16
RXN-10642	EC-4.1.1.37
TRANS-RXN1G1K-42	
RXN-13008	EC-2.3.1.86
ADENYLATECYC-RXN	EC-4.6.1.1
PHOSPHOLIPASE-A1-RXN	EC-3.1.1.32
RXN-14120	EC-2.7.4.6
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
RXN-10085	EC-2.8.3.6
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
TRANS-RXN-157	EC-2.7.1.199
ORNDECARBOX-RXN	EC-4.1.1.17
GLYCOLATEDEHYDRO-RXN	EC-1.1.99.14
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
RXN1G1K-9	
RXN0-2001	EC-2.4.2.43
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
ABC-37-RXN	EC-3.6.3.21
RXN-12565	EC-2.3.1.16
TRNA-S-TRANSFERASE-RXN	EC-2.8.1
R222-RXN	EC-1.2.1.3
PROTEIN-KINASE-RXN	EC-2.7.11.21	EC-2.7.11.22
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
RXN-9787	EC-2.8.1.7
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
TRANS-RXN1G1K-41	
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
2.7.1.148-RXN	EC-2.7.1.148
RXN0-5330	EC-1.6.5.9
RXN-16622	EC-1.1.1.100
RXN-17016	EC-2.3.1.15
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
RXN-12610	EC-2.5.1.3
RXN-12579	EC-3.1.1.3
R4-RXN	EC-1.8.1
RXN0-3201	EC-3.4.21
RXN1G1K-20	
RXN-16333	
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
RXN-14256	
RXN-1803	EC-2.4.1.10
RXN-12456	EC-1.3.1.91
RXN0-5100	EC-5.99.1
RXN-14382	
RXN1G1K-33	
RXN-10657	EC-1.3.1.9
RXN-9556	EC-1.1.1.100
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
3.4.11.2-RXN	EC-3.4.11.14
2.7.1.156-RXN	EC-2.7.1.156
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5
RXN-14223	EC-2.7.1.15
RXN-17734	EC-3.1.4.3
PHOSGLYPHOS-RXN	EC-2.7.2.3
TRANS-RXN-161	EC-2.7.1.200
RXN-13034	EC-4.2.2.26
RXN-14267	EC-3.5.1.28
RXN-8975	EC-2.7.8.13
RXN-16650	EC-2.4.1.129
TRANS-RXN-2	EC-3.6.3.12
3.2.1.81-RXN	EC-3.2.1.81
GALACTOKIN-RXN	EC-2.7.1.6
RXN66-3	EC-1.2.1.3
ORNITHINE-CYCLODEAMINASE-RXN	EC-4.3.1.12
1.14.12.1-RXN	EC-1.14.12.1
RXN0-5304	EC-5.4.99.62
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
RXN-10701	EC-2.3.1.16
RXN0-2301	EC-1.3.8.4
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
3.6.3.12-RXN	EC-3.6.3.12
DCTP-PYROPHOSPHATASE-RXN	EC-3.6.1.9	EC-3.6.1.12	EC-3.6.1.65
1TRANSKETO-RXN	EC-2.2.1.1
RXN-14385	EC-2.8.1.7
RXN0-5507	EC-4.1.2.50
GLUTRNAREDUCT-RXN	EC-1.2.1.70
ACYLCOASYN-RXN	EC-6.2.1.3
3.5.1.87-RXN	EC-3.5.1.87
RXN-14272	EC-4.2.1.17
RXN1G1K-32	
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
3PGAREARR-RXN	EC-5.4.2.12
RXN-11596	EC-2.1.1.181
RXN-11476	EC-1.1.1.100
RXN-11194	EC-1.4.1.25
RXN-1828	EC-2.4.1.25
RXN1G1K-8	
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3
2TRANSKETO-RXN	EC-2.2.1.1
RXN-10089	EC-1.2.1.3
1.3.1.25-RXN	EC-1.3.1.25
RXN1G1K-19	
RXN-14384	EC-2.8.1.7
RXN-17737	EC-3.1.4.3
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.10
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
6.2.1.34-RXN	EC-6.2.1.34
RXN-9540	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-11589	EC-2.1.1.186
